Number of pulses received - @ Low	Alluminio 12 500ms	
478.625	3	
483.875	3	
489.125	8	
494.375	10	
499.625	14	
504.875	12	
510.125	22	
515.375	14	
520.625	34	
525.875	22	
531.125	33	
536.375	35	
541.625	31	
546.875	31	
552.125	26	
557.375	17	
562.625	16	
567.875	9	
573.125	4	
578.375	6	
