740	0.1	0.6	0.2	
730	0.1	0.6	0.2	
720	0.1	0.5	0.2	
710	0.1	0.6	0.3	
690	0.1	0.9	0.2	
680	0.1	1.0	0.2	
670	0.1	1.0	0.2	
660	0.1	1.1	0.2	
650	0.1	1.9	0.4	
648	0.1	2.4	0.5	
646	0.1	3.1	0.6	
644	0.1	4.2	0.9	
642	0.1	5	2	
640	0.1	6	2	
638	0.1	8	3	
636	0.1	8	3	
634	0.1	7	3	
632	0.1	5	2	
630	0.1	4.4	1.8	
625	0.1	4.1	0.9	
620	0.1	3.9	0.8	
610	0.1	3.1	0.6	
600	0.1	2.4	0.5	
590	0.1	1.7	0.4	
580	0.1	1.3	0.3	
570	0.1	0.94	0.19	
560	0.1	0.83	0.17	
550	0.1	0.65	0.13	
540	0.1	0.59	0.12	
ua	s_ua	I[nA]	s_I[nA]	
