0.00	0.00
1.00	-1.15
2.00	-1.10
3.00	-0.95
4.00	-1.55
5.00	-0.55
6.00	-0.20
7.00	-0.60
8.00	0.80
9.00	0.95
10.00	0.10
11.00	-0.10
12.00	0.25
13.00	0.35
14.00	-0.30
15.00	-1.15
16.00	-2.10
17.00	-2.05
18.00	-1.50
19.00	-1.90
20.00	-0.60
21.00	-0.50
22.00	-1.55
23.00	1.00
24.00	0.25
25.00	0.50
26.00	0.65
27.00	-1.15
28.00	-2.15
29.00	-0.85
30.00	-0.45
31.00	-0.65
32.00	0.95
33.00	0.50
34.00	-0.40
35.00	-0.45
36.00	-0.05
37.00	0.10
38.00	-0.45
39.00	-0.40
40.00	-0.20
41.00	-0.40
42.00	-1.20
43.00	-1.70
44.00	0.05
45.00	-0.40
46.00	-1.05
47.00	-1.25
48.00	-1.05
49.00	-0.65
50.00	-1.95
51.00	-1.50
52.00	-1.25
53.00	-0.85
54.00	-1.15
55.00	-0.15
56.00	-0.60
57.00	-0.35
58.00	-0.60
59.00	0.25
60.00	1.00
61.00	-0.85
62.00	-1.25
63.00	-0.35
64.00	-0.85
65.00	-0.85
66.00	-0.55
67.00	-0.40
68.00	-0.20
69.00	-0.65
70.00	0.25
71.00	1.00
72.00	-0.10
73.00	0.70
74.00	-0.35
75.00	-0.95
76.00	0.65
77.00	-0.40
78.00	-1.10
79.00	-1.65
80.00	-1.30
81.00	-1.05
82.00	-0.55
83.00	-0.65
84.00	-0.45
85.00	-1.30
86.00	-1.30
87.00	-0.75
88.00	-0.60
89.00	-0.85
90.00	-0.70
91.00	-0.25
92.00	0.40
93.00	0.15
94.00	0.05
95.00	0.05
96.00	-0.65
97.00	1.70
98.00	1.30
99.00	0.15
100.00	-0.35
101.00	-1.25
102.00	-1.15
103.00	-1.15
104.00	-0.35
105.00	-0.60
106.00	-1.60
107.00	-0.60
108.00	-1.05
109.00	-0.70
110.00	-0.60
111.00	-0.25
112.00	-0.50
113.00	0.25
114.00	0.30
115.00	0.40
116.00	-0.65
117.00	3.25
118.00	1.15
119.00	2.50
120.00	1.00
121.00	0.10
122.00	-0.45
123.00	-0.85
124.00	-1.20
125.00	-1.05
126.00	0.15
127.00	-0.60
128.00	0.40
129.00	0.00
130.00	-0.15
131.00	-1.35
132.00	-0.10
133.00	1.15
134.00	0.15
135.00	-0.25
136.00	0.50
137.00	-0.45
138.00	-0.30
139.00	-0.80
140.00	-0.10
141.00	-0.30
142.00	-1.25
143.00	-1.30
144.00	-0.25
145.00	0.20
146.00	0.15
147.00	-0.15
148.00	-1.35
149.00	-1.05
150.00	-1.90
151.00	-0.25
152.00	-0.15
153.00	0.10
154.00	-0.15
155.00	-0.35
156.00	-0.40
157.00	0.20
158.00	0.10
159.00	0.60
160.00	0.20
161.00	-0.75
162.00	-0.60
163.00	-0.65
164.00	-0.40
165.00	0.75
166.00	0.55
167.00	-0.25
168.00	0.15
169.00	0.95
170.00	-0.15
171.00	-1.20
172.00	-1.50
173.00	-0.95
174.00	-1.30
175.00	-1.65
176.00	-2.15
177.00	-1.30
178.00	0.10
179.00	-0.80
180.00	-1.10
181.00	1.90
182.00	0.50
183.00	-0.15
184.00	-0.15
185.00	-0.55
186.00	-0.25
187.00	-1.20
188.00	-1.20
189.00	-0.25
190.00	-0.60
191.00	-1.75
192.00	-0.50
193.00	0.65
194.00	1.10
195.00	0.35
196.00	-0.20
197.00	-0.05
198.00	-1.10
199.00	-0.80
200.00	-0.80
201.00	-0.45
202.00	0.20
203.00	1.30
204.00	0.10
205.00	-1.45
206.00	-1.70
207.00	-1.15
208.00	-0.95
209.00	-1.25
210.00	-1.30
211.00	-1.65
212.00	0.50
213.00	0.35
214.00	0.00
215.00	0.00
216.00	0.25
217.00	-0.45
218.00	-0.80
219.00	-1.05
220.00	0.20
221.00	-0.70
222.00	-0.70
223.00	-1.00
224.00	2.00
225.00	0.50
226.00	0.25
227.00	-0.20
228.00	-0.60
229.00	1.30
230.00	0.55
