740	0.1	50.5	1.3	
730	0.1	52.6	1.3	
720	0.1	53.3	1.3	
710	0.1	54.5	1.3	
690	0.1	54.6	1.5	
680	0.1	54.7	1.5	
670	0.1	56.1	1.5	
660	0.1	56.7	1.5	
650	0.1	57.6	1.5	
648	0.1	60.1	1.6	
646	0.1	58.4	1.6	
644	0.1	55.8	1.6	
642	0.1	58	1	
640	0.1	55	1	
638	0.1	56	1	
636	0.1	56	1	
634	0.1	60	1	
632	0.1	60	1	
630	0.1	56.6	1.6	
625	0.1	60.0	1.6	
620	0.1	55.2	1.6	
610	0.1	57.1	1.6	
600	0.1	54.8	1.6	
590	0.1	52.4	1.6	
580	0.1	60.3	1.6	
570	0.1	51.61	1.60	
560	0.1	58.27	1.60	
550	0.1	43.02	1.60	
540	0.1	41.06	1.60	
ua	s_ua	V0_pp [mV]	s_V0_pp [mv]	
