740	0.1	18.1	0.5	
730	0.1	19.0	0.5	
720	0.1	19.8	0.5	
710	0.1	20.4	0.5	
690	0.1	19.5	0.5	
680	0.1	18.0	0.5	
670	0.1	16.2	0.5	
660	0.1	13.6	0.5	
650	0.1	10.8	0.5	
648	0.1	10.1	0.5	
646	0.1	9.3	0.5	
644	0.1	8.1	0.5	
642	0.1	6.6	0.2	
640	0.1	5.0	0.2	
638	0.1	3.2	0.2	
636	0.1	1.8	0.2	
634	0.1	1.0	0.2	
632	0.1	0.7	0.2	
630	0.1	0.6	0.2	
625	0.1	0.6	0.2	
620	0.1	0.6	0.2	
610	0.1	0.5	0.2	
600	0.1	0.5	0.2	
590	0.1	0.4	0.2	
580	0.1	0.4	0.2	
570	0.1	0.4	0.2	
560	0.1	0.4	0.2	
550	0.1	0.4	0.2	
540	0.1	0.3	0.2	
ua	s_ua	V_pp [mV]	s_V_pp [mv]	
