ADC Channel - Charge distribution	Sr90 decentrato	
23542.5	3250	
23607.5	3178	
23672.5	3207	
23737.5	3100	
23802.5	3102	
23867.5	3077	
23932.5	2922	
23997.5	3055	
24062.5	2983	
24127.5	2928	
24192.5	2897	
24257.5	2954	
24322.5	2789	
24387.5	2817	
24452.5	2661	
24517.5	2833	
24582.5	2751	
24647.5	2679	
24712.5	2677	
24777.5	2639	
24842.5	2596	
24907.5	2613	
24972.5	2542	
25037.5	2573	
25102.5	2473	
25167.5	2525	
25232.5	2430	
25297.5	2453	
25362.5	2304	
25427.5	2373	
25492.5	2344	
25557.5	2272	
25622.5	2238	
25687.5	2236	
25752.5	2280	
25817.5	2175	
25882.5	2117	
25947.5	2142	
26012.5	2099	
26077.5	2073	
26142.5	2110	
26207.5	1912	
26272.5	1993	
26337.5	1975	
26402.5	1884	
26467.5	1883	
26532.5	1870	
26597.5	1828	
26662.5	1804	
26727.5	1883	
26792.5	1787	
26857.5	1716	
26922.5	1680	
26987.5	1666	
27052.5	1712	
27117.5	1601	
27182.5	1641	
27247.5	1588	
27312.5	1551	
27377.5	1515	
27442.5	1497	
27507.5	1510	
27572.5	1457	
27637.5	1416	
27702.5	1413	
27767.5	1448	
27832.5	1398	
27897.5	1354	
27962.5	1370	
28027.5	1288	
28092.5	1311	
28157.5	1228	
28222.5	1247	
28287.5	1148	
28352.5	1222	
28417.5	1104	
28482.5	1146	
28547.5	1099	
28612.5	1051	
28677.5	1074	
28742.5	1018	
28807.5	1075	
28872.5	1018	
28937.5	970	
29002.5	966	
29067.5	955	
29132.5	880	
29197.5	891	
29262.5	863	
29327.5	840	
29392.5	848	
29457.5	830	
29522.5	809	
29587.5	792	
29652.5	737	
29717.5	780	
29782.5	743	
29847.5	726	
29912.5	685	
29977.5	696	
30042.5	673	
30107.5	615	
30172.5	648	
30237.5	632	
30302.5	578	
30367.5	596	
30432.5	587	
30497.5	560	
30562.5	547	
30627.5	559	
30692.5	487	
30757.5	480	
30822.5	464	
30887.5	459	
30952.5	460	
31017.5	469	
31082.5	409	
31147.5	438	
31212.5	399	
31277.5	388	
31342.5	408	
31407.5	390	
31472.5	359	
31537.5	382	
