ADC Channel - Charge distribution Sr90 CENTRATO	
23542.5	3395	
23607.5	3404	
23672.5	3397	
23737.5	3326	
23802.5	3394	
23867.5	3480	
23932.5	3381	
23997.5	3345	
24062.5	3314	
24127.5	3485	
24192.5	3346	
24257.5	3412	
24322.5	3287	
24387.5	3246	
24452.5	3352	
24517.5	3430	
24582.5	3433	
24647.5	3369	
24712.5	3513	
24777.5	3461	
24842.5	3303	
24907.5	3415	
24972.5	3458	
25037.5	3388	
25102.5	3396	
25167.5	3452	
25232.5	3391	
25297.5	3420	
25362.5	3315	
25427.5	3328	
25492.5	3401	
25557.5	3450	
25622.5	3423	
25687.5	3455	
25752.5	3303	
25817.5	3346	
25882.5	3418	
25947.5	3269	
26012.5	3309	
26077.5	3344	
26142.5	3394	
26207.5	3314	
26272.5	3328	
26337.5	3478	
26402.5	3321	
26467.5	3266	
26532.5	3462	
26597.5	3394	
26662.5	3289	
26727.5	3428	
26792.5	3458	
26857.5	3347	
26922.5	3340	
26987.5	3405	
27052.5	3276	
27117.5	3367	
27182.5	3351	
27247.5	3379	
27312.5	3400	
27377.5	3428	
27442.5	3390	
27507.5	3360	
27572.5	3349	
27637.5	3298	
27702.5	3350	
27767.5	3306	
27832.5	3380	
27897.5	3355	
27962.5	3228	
28027.5	3402	
28092.5	3355	
28157.5	3407	
28222.5	3335	
28287.5	3274	
28352.5	3299	
28417.5	3347	
28482.5	3307	
28547.5	3290	
28612.5	3213	
28677.5	3346	
28742.5	3347	
28807.5	3278	
28872.5	3369	
28937.5	3399	
29002.5	3324	
29067.5	3367	
29132.5	3385	
29197.5	3288	
29262.5	3237	
29327.5	3277	
29392.5	3304	
29457.5	3383	
29522.5	3286	
29587.5	3384	
29652.5	3341	
29717.5	3373	
29782.5	3367	
29847.5	3313	
29912.5	3305	
29977.5	3270	
30042.5	3343	
30107.5	3359	
30172.5	3324	
30237.5	3287	
30302.5	3328	
30367.5	3236	
30432.5	3342	
30497.5	3233	
30562.5	3405	
30627.5	3311	
30692.5	3308	
30757.5	3350	
30822.5	3461	
30887.5	3369	
30952.5	3256	
31017.5	3283	
31082.5	3336	
31147.5	3350	
31212.5	3251	
31277.5	3372	
31342.5	3347	
31407.5	3321	
31472.5	3308	
31537.5	3299	
31602.5	3369	
31667.5	3393	
31732.5	3297	
31797.5	3358	
31862.5	3351	
31927.5	3341	
31992.5	3409	
32057.5	3399	
32122.5	3385	
32187.5	3321	
32252.5	3227	
32317.5	3417	
32382.5	3371	
32447.5	3358	
32512.5	3332	
32577.5	3269	
32642.5	3471	
32707.5	3273	
32772.5	3326	
32837.5	3424	
32902.5	3335	
32967.5	3373	
33032.5	3316	
33097.5	3412	
33162.5	3359	
33227.5	3349	
33292.5	3393	
33357.5	3446	
33422.5	3257	
33487.5	3292	
33552.5	3253	
33617.5	3316	
33682.5	3341	
33747.5	3335	
33812.5	3416	
33877.5	3405	
33942.5	3349	
34007.5	3399	
34072.5	3501	
34137.5	3365	
34202.5	3349	
34267.5	3383	
34332.5	3372	
34397.5	3421	
34462.5	3330	
34527.5	3427	
34592.5	3419	
34657.5	3368	
34722.5	3310	
34787.5	3353	
34852.5	3306	
34917.5	3276	
34982.5	3387	
35047.5	3353	
35112.5	3346	
35177.5	3415	
35242.5	3373	
35307.5	3369	
35372.5	3426	
35437.5	3306	
35502.5	3407	
35567.5	3372	
35632.5	3434	
35697.5	3417	
35762.5	3415	
35827.5	3395	
35892.5	3355	
35957.5	3344	
36022.5	3337	
36087.5	3325	
36152.5	3334	
36217.5	3442	
36282.5	3361	
36347.5	3447	
36412.5	3359	
36477.5	3233	
36542.5	3348	
36607.5	3223	
36672.5	3271	
36737.5	3328	
36802.5	3391	
36867.5	3282	
36932.5	3344	
36997.5	3249	
37062.5	3428	
37127.5	3342	
37192.5	3181	
37257.5	3265	
37322.5	3197	
37387.5	3362	
37452.5	3287	
37517.5	3239	
37582.5	3189	
37647.5	3198	
37712.5	3180	
37777.5	3289	
37842.5	3154	
37907.5	3245	
37972.5	3152	
38037.5	3315	
38102.5	3194	
38167.5	3133	
38232.5	3211	
38297.5	3231	
38362.5	3147	
38427.5	3112	
38492.5	3134	
38557.5	3125	
38622.5	3125	
38687.5	3157	
38752.5	3028	
38817.5	3065	
38882.5	2986	
38947.5	3018	
39012.5	3050	
39077.5	3098	
39142.5	2965	
39207.5	3175	
39272.5	3121	
39337.5	2956	
39402.5	2937	
39467.5	2903	
39532.5	2994	
39597.5	3018	
39662.5	2916	
39727.5	2869	
39792.5	2949	
39857.5	2919	
39922.5	2878	
39987.5	2897	
40052.5	2799	
40117.5	2811	
40182.5	2847	
40247.5	2836	
40312.5	2807	
40377.5	2849	
40442.5	2699	
40507.5	2736	
40572.5	2678	
40637.5	2648	
40702.5	2730	
40767.5	2606	
40832.5	2602	
40897.5	2648	
40962.5	2722	
41027.5	2572	
41092.5	2633	
