1250.	2	
1750.	0	
2250.	4	
2750.	1	
3250.	3	
3750.	1	
4250.	0	
4750.	1	
5250.	1	
5750.	0	
6250.	0	
6750.	2	
7250.	1	
7750.	5	
8250.	0	
8750.	2	
9250.	0	
9750.	0	
10250.	2	
10750.	0	
11250.	0	
11750.	1	
12250.	2	
12750.	1	
13250.	1	
13750.	1	
14250.	0	
14750.	2	
15250.	2	
15750.	2	
16250.	1	
16750.	4	
17250.	0	
17750.	3	
18250.	0	
18750.	0	
19250.	3	
19750.	2	
20250.	1	
20750.	1	
21250.	3	
21750.	2	
22250.	1	
22750.	2	
23250.	1	
23750.	2	
24250.	4	
24750.	3	
25250.	4	
25750.	4	
26250.	5	
26750.	3	
27250.	5	
27750.	7	
28250.	3	
28750.	5	
29250.	4	
29750.	4	
30250.	9	
30750.	5
