-49.5	0	
-48.5	0	
-47.5	0	
-46.5	0	
-45.5	0	
-44.5	0	
-43.5	0	
-42.5	0	
-41.5	0	
-40.5	0	
-39.5	0	
-38.5	0	
-37.5	0	
-36.5	0	
-35.5	1	
-34.5	0	
-33.5	1	
-32.5	0	
-31.5	2	
-30.5	5	
-29.5	10	
-28.5	6	
-27.5	10	
-26.5	18	
-25.5	17	
-24.5	21	
-23.5	42	
-22.5	50	
-21.5	66	
-20.5	113	
-19.5	148	
-18.5	207	
-17.5	270	
-16.5	308	
-15.5	444	
-14.5	545	
-13.5	693	
-12.5	899	
-11.5	1026	
-10.5	1269	
-9.5	1477	
-8.5	1750	
-7.5	2103	
-6.5	2400	
-5.5	2602	
-4.5	2858	
-3.5	3175	
-2.5	3351	
-1.5	3415	
-0.5	3598	
0.5	3669	
1.5	3692	
2.5	3448	
3.5	3492	
4.5	3132	
5.5	3030	
6.5	2749	
7.5	2473	
8.5	2191	
9.5	1996	
10.5	1620	
11.5	1423	
12.5	1165	
13.5	949	
14.5	774	
15.5	606	
16.5	492	
17.5	378	
18.5	244	
19.5	186	
20.5	126	
21.5	104	
22.5	83	
23.5	58	
24.5	41	
25.5	33	
26.5	24	
27.5	18	
28.5	18	
29.5	6	
30.5	14	
31.5	10	
32.5	5	
33.5	7	
34.5	6	
35.5	5	
36.5	2	
37.5	7	
38.5	4	
39.5	7	
40.5	4	
41.5	2	
42.5	6	
43.5	7	
44.5	4	
45.5	4	
46.5	6	
47.5	9	
48.5	5	
49.5	4	
50.5	2	
51.5	2	
52.5	4	
53.5	5	
54.5	3	
55.5	3	
56.5	2	
57.5	5	
58.5	6	
59.5	2	
60.5	6	
61.5	3	
62.5	5	
63.5	6	
64.5	2	
65.5	5	
66.5	6	
67.5	4	
68.5	7	
69.5	2	
70.5	5	
71.5	3	
72.5	2	
73.5	5	
74.5	2	
75.5	2	
76.5	4	
77.5	4	
78.5	2	
79.5	1	
80.5	6	
81.5	0	
82.5	4	
83.5	4	
84.5	3	
85.5	3	
86.5	5	
87.5	4	
88.5	3	
89.5	3	
90.5	2	
91.5	1	
92.5	3	
93.5	1	
94.5	8	
95.5	2	
96.5	4	
97.5	5	
98.5	3	
99.5	6	
100.5	1	
101.5	2	
102.5	9	
103.5	6	
104.5	3	
105.5	4	
106.5	9	
107.5	6	
108.5	5	
109.5	2	
110.5	4	
111.5	6	
112.5	1	
113.5	3	
114.5	8	
115.5	4	
116.5	4	
117.5	5	
118.5	3	
119.5	5	
120.5	6	
121.5	7	
122.5	7	
123.5	5	
124.5	4	
125.5	3	
126.5	4	
127.5	4	
128.5	6	
129.5	7	
130.5	9	
131.5	7	
132.5	5	
133.5	11	
134.5	11	
135.5	11	
136.5	9	
137.5	8	
138.5	5	
139.5	6	
140.5	11	
141.5	11	
142.5	9	
143.5	13	
144.5	14	
145.5	10	
146.5	14	
147.5	13	
148.5	25	
149.5	23	
150.5	31	
151.5	29	
152.5	33	
153.5	34	
154.5	52	
155.5	52	
156.5	99	
157.5	123	
158.5	123	
159.5	152	
160.5	174	
161.5	224	
162.5	277	
163.5	308	
164.5	412	
165.5	513	
166.5	530	
167.5	641	
168.5	834	
169.5	982	
170.5	1077	
171.5	1294	
172.5	1447	
173.5	1684	
174.5	1846	
175.5	2148	
176.5	2506	
177.5	2641	
178.5	2794	
179.5	3003	
180.5	3227	
181.5	3376	
182.5	3528	
183.5	3784	
184.5	3800	
185.5	4049	
186.5	4111	
187.5	4163	
188.5	3991	
189.5	4085	
190.5	3846	
191.5	3795	
192.5	3750	
193.5	3565	
194.5	3386	
195.5	3254	
196.5	3036	
197.5	2770	
198.5	2547	
199.5	2271	
200.5	2050	
201.5	1861	
202.5	1639	
203.5	1533	
204.5	1297	
205.5	1098	
206.5	921	
207.5	798	
208.5	694	
209.5	580	
210.5	462	
211.5	435	
212.5	361	
213.5	307	
214.5	242	
215.5	197	
216.5	164	
217.5	152	
218.5	123	
219.5	144	
220.5	110	
221.5	139	
222.5	92	
223.5	90	
224.5	98	
225.5	83	
226.5	85	
227.5	102	
228.5	101	
229.5	106	
230.5	86	
231.5	95	
232.5	94	
233.5	102	
234.5	99	
235.5	119	
236.5	130	
237.5	114	
238.5	110	
239.5	105	
240.5	109	
241.5	111	
242.5	112	
243.5	123	
244.5	121	
245.5	122	
246.5	113	
247.5	108	
248.5	135	
249.5	116	
250.5	128	
251.5	128	
252.5	130	
253.5	158	
254.5	114	
255.5	126	
256.5	134	
257.5	144	
258.5	120	
259.5	127	
260.5	116	
261.5	143	
262.5	140	
263.5	95	
264.5	129	
265.5	95	
266.5	101	
267.5	117	
268.5	117	
269.5	109	
270.5	88	
271.5	102	
272.5	111	
273.5	102	
274.5	113	
275.5	104	
276.5	91	
277.5	95	
278.5	72	
279.5	87	
280.5	75	
281.5	92	
282.5	75	
283.5	75	
284.5	71	
285.5	56	
286.5	87	
287.5	50	
288.5	59	
289.5	61	
290.5	55	
291.5	57	
292.5	54	
293.5	56	
294.5	39	
295.5	45	
296.5	39	
297.5	28	
298.5	30	
299.5	41	
300.5	29	
301.5	44	
302.5	25	
303.5	29	
304.5	34	
305.5	30	
306.5	20	
307.5	26	
308.5	24	
309.5	27	
310.5	25	
311.5	31	
312.5	29	
313.5	27	
314.5	25	
315.5	24	
316.5	26	
317.5	38	
318.5	33	
319.5	33	
320.5	39	
321.5	27	
322.5	36	
323.5	41	
324.5	52	
325.5	40	
326.5	47	
327.5	54	
328.5	80	
329.5	62	
330.5	61	
331.5	76	
332.5	101	
333.5	108	
334.5	115	
335.5	106	
336.5	132	
337.5	157	
338.5	218	
339.5	236	
340.5	247	
341.5	309	
342.5	336	
343.5	373	
344.5	445	
345.5	530	
346.5	551	
347.5	645	
348.5	683	
349.5	770	
350.5	859	
351.5	946	
352.5	1050	
353.5	1133	
354.5	1208	
355.5	1372	
356.5	1488	
357.5	1602	
358.5	1604	
359.5	1747	
360.5	1925	
361.5	2020	
362.5	1997	
