Threshold [mV] - Staircase(s)-Multicolor	Frequency  [kHz] - Staircase(s)-Multicolor	
-6	50.028	
-8	50.904	
-10	49.992	
-12	50.576	
-14	50.556	
-16	35.584	
-18	1.868	
-20	1.756	
-22	1.36	
-24	0.916	
-26	0.832	
-28	0.536	
-30	0.028	
-32	0.032	
-34	0.02	
-36	0.016	
-38	0.008	
-40	0.004	
-50	0.004	
