ADC Channel - Charge distribution	LED bias56.03V, G29dB,I2.5
386.5	101	
387.5	92	
388.5	102	
389.5	99	
390.5	90	
391.5	85	
392.5	97	
393.5	107	
394.5	116	
395.5	114	
396.5	111	
397.5	92	
398.5	116	
399.5	105	
400.5	96	
401.5	97	
402.5	112	
403.5	98	
404.5	85	
405.5	119	
406.5	97	
407.5	107	
408.5	124	
409.5	106	
410.5	110	
411.5	129	
412.5	84	
413.5	107	
414.5	120	
415.5	97	
416.5	106	
417.5	140	
418.5	128	
419.5	93	
420.5	136	
421.5	110	
422.5	103	
423.5	123	
424.5	103	
425.5	122	
426.5	111	
427.5	127	
428.5	114	
429.5	98	
430.5	98	
431.5	129	
432.5	104	
433.5	113	
434.5	110	
435.5	119	
436.5	115	
437.5	107	
438.5	125	
439.5	102	
440.5	101	
441.5	113	
442.5	90	
443.5	124	
444.5	96	
445.5	110	
446.5	105	
447.5	100	
448.5	87	
449.5	107	
450.5	100	
451.5	75	
452.5	92	
453.5	80	
454.5	100	
455.5	79	
456.5	85	
457.5	93	
458.5	69	
459.5	79	
460.5	75	
461.5	70	
462.5	73	
463.5	62	
464.5	74	
465.5	75	
466.5	77	
467.5	61	
468.5	77	
469.5	51	
470.5	68	
471.5	55	
472.5	53	
473.5	62	
474.5	59	
475.5	41	
476.5	50	
477.5	38	
478.5	49	
479.5	50	
480.5	43	
481.5	40	
482.5	52	
483.5	41	
484.5	27	
485.5	44	
486.5	31	
487.5	37	
488.5	30	
489.5	32	
490.5	33	
491.5	23	
492.5	25	
493.5	32	
494.5	29	
495.5	29	
496.5	30	
497.5	29	
498.5	29	
499.5	24	
500.5	24	
501.5	26	
502.5	27	
503.5	17	
504.5	17	
505.5	32	
506.5	24	
507.5	25	
508.5	23	
509.5	20	
510.5	13	
511.5	25	
512.5	23	
513.5	23	
514.5	24	
515.5	24	
516.5	16	
517.5	19	
518.5	24	
519.5	19	
520.5	17	
521.5	23	
522.5	23	
523.5	22	
524.5	27	
525.5	27	
526.5	25	
527.5	22	
528.5	16	
529.5	19	
530.5	28	
531.5	20	
532.5	28	
533.5	30	
534.5	30	
535.5	27	
536.5	30	
537.5	28	
538.5	23	
539.5	22	
540.5	29	
541.5	36	
542.5	37	
543.5	25	
544.5	30	
545.5	25	
546.5	35	
547.5	34	
548.5	37	
549.5	45	
550.5	42	
551.5	41	
552.5	53	
553.5	60	
554.5	45	
555.5	36	
556.5	71	
557.5	69	
558.5	75	
559.5	87	
560.5	76	
561.5	91	
562.5	101	
563.5	111	
564.5	122	
565.5	138	
566.5	126	
567.5	155	
568.5	181	
569.5	196	
570.5	247	
571.5	238	
572.5	258	
573.5	293	
574.5	321	
575.5	323	
576.5	396	
577.5	405	
578.5	433	
579.5	478	
580.5	525	
581.5	562	
582.5	584	
583.5	616	
584.5	691	
585.5	687	
586.5	726	
587.5	789	
588.5	881	
589.5	913	
590.5	850	
591.5	1055	
592.5	1025	
593.5	1118	
594.5	1095	
595.5	1141	
596.5	1244	
597.5	1252	
598.5	1276	
599.5	1263	
600.5	1399	
601.5	1364	
602.5	1371	
603.5	1419	
604.5	1506	
605.5	1478	
606.5	1495	
607.5	1519	
608.5	1537	
609.5	1513	
610.5	1505	
611.5	1543	
612.5	1560	
613.5	1433	
614.5	1461	
615.5	1528	
616.5	1463	
617.5	1475	
618.5	1388	
619.5	1394	
620.5	1414	
621.5	1332	
622.5	1312	
623.5	1316	
624.5	1295	
625.5	1228	
626.5	1203	
627.5	1147	
628.5	1163	
629.5	1025	
630.5	1025	
631.5	957	
632.5	943	
633.5	844	
634.5	797	
635.5	826	
636.5	736	
637.5	755	
638.5	679	
639.5	614	
640.5	597	
641.5	565	
642.5	505	
643.5	521	
644.5	473	
645.5	400	
646.5	339	
647.5	345	
648.5	319	
649.5	287	
650.5	265	
651.5	276	
652.5	214	
653.5	242	
654.5	212	
655.5	198	
656.5	163	
657.5	173	
658.5	157	
659.5	161	
660.5	141	
661.5	142	
662.5	158	
663.5	142	
664.5	164	
665.5	125	
666.5	133	
667.5	148	
668.5	119	
669.5	135	
670.5	128	
671.5	126	
672.5	144	
673.5	167	
674.5	143	
675.5	154	
676.5	124	
677.5	148	
678.5	166	
679.5	151	
680.5	148	
681.5	164	
682.5	153	
683.5	164	
684.5	167	
685.5	154	
686.5	161	
687.5	148	
688.5	156	
689.5	155	
690.5	164	
691.5	154	
692.5	179	
693.5	143	
694.5	163	
695.5	154	
696.5	169	
697.5	195	
698.5	173	
699.5	168	
700.5	165	
701.5	181	
702.5	161	
703.5	176	
704.5	166	
705.5	186	
706.5	175	
707.5	189	
708.5	192	
709.5	175	
710.5	200	
711.5	165	
712.5	187	
713.5	187	
714.5	170	
715.5	222	
716.5	188	
717.5	189	
718.5	184	
719.5	169	
720.5	201	
721.5	194	
722.5	201	
723.5	176	
724.5	194	
725.5	185	
726.5	178	
727.5	181	
728.5	177	
729.5	197	
730.5	174	
731.5	191	
732.5	185	
733.5	177	
734.5	179	
735.5	180	
736.5	195	
737.5	158	
738.5	176	
739.5	188	
740.5	153	
741.5	184	
742.5	156	
743.5	183	
744.5	151	
745.5	168	
746.5	166	
747.5	171	
748.5	162	
749.5	152	
750.5	164	
751.5	177	
752.5	151	
753.5	159	
754.5	132	
755.5	140	
756.5	153	
757.5	146	
758.5	138	
759.5	128	
760.5	124	
761.5	132	
762.5	130	
763.5	127	
764.5	126	
765.5	142	
766.5	116	
767.5	115	
768.5	141	
769.5	131	
